Timestamp,Target_Deg,Real_Deg,Error_Deg,Voltage_mV,Raw_Vel,Filtered_Vel,V_EMF,Control_Mode
16:10:38.749,0.0,19.06171120201932,-19.06171120201932,-9500.0,0.0,0.0,0.0,1.0
16:10:38.769,0.0,19.06171120201932,-19.06171120201932,-9500.0,0.0,0.0,0.0,1.0
16:10:38.789,0.0,19.06171120201932,-19.06171120201932,-9500.0,0.0,0.0,0.0,1.0
16:10:38.809,0.0,19.06171120201932,-19.06171120201932,-9500.0,0.0,0.0,0.0,1.0
16:10:38.829,0.0,18.017233875881278,-18.017233875881278,-9500.0,-18.0,-2.16,-11.511025612823266,1.0
16:10:38.849,0.0,16.102358777961527,-16.102358777961527,-9500.0,-16.0,-3.8208,-20.361725306238487,1.0
16:10:38.869,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-3.3623040000000004,-17.91831826948987,1.0
16:10:38.889,0.0,15.493080337714334,-15.493080337714334,-9500.0,1.0,-2.83882752,-15.128618654216458,1.0
16:10:38.909,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-2.4981682176,-13.313184415710483,1.0
16:10:38.929,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-2.1983880314879998,-11.715602285825224,1.0
16:10:38.949,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-1.9345814677094397,-10.309730011526197,1.0
16:10:38.969,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-1.702431691584307,-9.072562410143053,1.0
16:10:38.989,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-1.4981398885941901,-7.983854920925887,1.0
16:10:39.009,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-1.3183631019628874,-7.025792330414781,1.0
16:10:39.029,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-1.160159529727341,-6.182697250765007,1.0
16:10:39.050,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-1.02094038616006,-5.4407735806732065,1.0
16:10:39.069,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-0.8984275398208529,-4.7878807509924215,1.0
16:10:39.089,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-0.7906162350423506,-4.213335060873331,1.0
16:10:39.110,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-0.6957422868372685,-3.7077348535685313,1.0
16:10:39.129,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-0.6122532124167962,-3.262806671140307,1.0
16:10:39.149,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-0.5387828269267807,-2.8712698706034705,1.0
16:10:39.169,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-0.474128887695567,-2.526717486131054,1.0
16:10:39.189,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-0.41723342117209894,-2.2235113877953276,1.0
16:10:39.209,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-0.3671654106314471,-1.9566900212598883,1.0
16:10:39.229,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-0.3231055613556734,-1.7218872187087015,1.0
16:10:39.249,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-0.2843328939929926,-1.5152607524636574,1.0
16:10:39.269,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-0.2502129467138335,-1.3334294621680185,1.0
16:10:39.289,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-0.22018739310817348,-1.1734179267078564,1.0
16:10:39.309,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-0.19376490593519266,-1.0326077755029135,1.0
16:10:39.329,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-0.17051311722296955,-0.9086948424425639,1.0
16:10:39.350,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-0.15005154315621322,-0.7996514613494564,1.0
16:10:39.369,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-0.13204535797746764,-0.7036932859875217,1.0
16:10:39.389,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-0.11619991502017152,-0.619250091669019,1.0
16:10:39.409,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-0.10225592521775094,-0.5449400806687368,1.0
16:10:39.429,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-0.08998521419162082,-0.4795472709884883,1.0
16:10:39.449,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-0.07918698848862632,-0.42200159846986973,1.0
16:10:39.469,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-0.06968454986999116,-0.3713614066534853,1.0
16:10:39.489,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-0.06132240388559222,-0.3267980378550671,1.0
16:10:39.509,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-0.05396371541932116,-0.28758227331245906,1.0
16:10:39.529,0.0,15.493080337714334,-15.493080337714334,-9500.0,0.0,-0.04748806956900262,-0.25307240051496394,1.0
